"filename", "language", "JavaScript", "Markdown", "JSON", "Solidity", "CSS", "HTML", "comment", "blank", "total"
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/WorkerDashboard.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/WorkerDetails.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 2, 93
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/WorkerRequests.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 8, 147
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/WorkerScreen.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 11, 142
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/index.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 3, 25
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/utils/Transactions.json", "JSON", 0, 0, 140, 0, 0, 0, 0, 1, 141
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/utils/constants.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/apple/Desktop/Projects/sanitary-store/frontend/tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 7, 2, 16
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 4, 14
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/contracts/Transactions.sol", "Solidity", 0, 0, 0, 23, 0, 0, 1, 11, 35
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/hardhat.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 4, 18
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/package-lock.json", "JSON", 0, 0, 20002, 0, 0, 0, 0, 1, 20003
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 1, 21
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/scripts/deploy.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 5, 22
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/test/Lock.js", "JavaScript", 92, 0, 0, 0, 0, 0, 8, 27, 127
"Total", "-", 9039, 48, 54600, 23, 22, 20, 158, 873, 64783
